model,dimension,level,rows,folds,standard_WIS,CRPS_quantile_approximation,MAE,RMSE,MASE,bias,Poisson_deviance,coverage_50,interval_width_50,coverage_80,interval_width_80,coverage_90,interval_width_90,coverage_95_approx,interval_width_95_approx,PIT_mean_approx
simple_median_ensemble,year,2020,5268,5,0.14304630414725275,0.14304630414725275,0.1875904102016559,0.7905852801658791,0.5222191810423475,-0.011474280102075712,0.3750865565936141,0.7027334851936219,0.02085292735977281,0.8223234624145785,0.04520771551982598,0.9007213363705391,0.9021529438254414,0.9007213363705391,0.9021529438254414,0.4211895674939967
simple_median_ensemble,year,2021,5268,5,0.17056105742402783,0.17056105742402788,0.2139186827833302,1.0591727078485809,0.45726854797881505,-0.08006670870778378,0.49725445013943026,0.6977980258162491,0.01749456240713846,0.8111237661351557,0.040214429963244,0.8887623386484435,0.7895589366994407,0.8887623386484435,0.7895589366994407,0.5035397779983066
simple_median_ensemble,year,2022,5268,5,0.19849086425576573,0.19849086425576573,0.245483992463759,1.1404564659623038,0.4409836931468686,-0.08007612423019773,0.5410688025985083,0.6235763097949886,0.019082175922978634,0.7794229309035687,0.046285191115053574,0.873955960516325,0.972506427180685,0.873955960516325,0.972506427180685,0.4063614787996661
simple_median_ensemble,year,2023,5268,5,0.2239078938705315,0.22390789387053153,0.2761743174493175,1.278434590197884,0.4616344430357205,-0.07687828783702312,0.5909396345893677,0.6266135155656796,0.02280557838726444,0.7837889141989369,0.15570858469541954,0.8749050873196659,1.0141430737161,0.8749050873196659,1.0141430737161,0.4140839316392383
simple_median_ensemble,year,2024,5268,5,0.21327386525210118,0.21327386525210115,0.2724106581768956,1.126365979625234,0.431514868155702,-0.06501117530790655,0.5774322071299169,0.6080106302201974,0.02510876781522435,0.7720197418375095,0.3945233986819817,0.8804100227790432,1.0486195816852288,0.8804100227790432,1.0486195816852288,0.4106526074236827
simple_median_ensemble,macroregion,Centro-Oeste,2640,20,0.1347265753629168,0.13472657536291677,0.17964559503421046,0.46226851349818376,0.6801789459042775,-0.04833163816552161,0.46156751661574713,0.7325757575757575,0.01723619939394176,0.8049242424242424,0.15401742850584782,0.881439393939394,0.9531274222691754,0.881439393939394,0.9531274222691754,0.49149627863671086
simple_median_ensemble,macroregion,Nordeste,7020,20,0.11707671342864097,0.11707671342864098,0.15844544270161365,0.43060822505676244,0.5828766049908942,-0.014998341944967245,0.3829368544756515,0.729059829059829,0.018701981856424868,0.8571225071225071,0.193118479160793,0.9125356125356126,0.947180932077944,0.9125356125356126,0.947180932077944,0.42710379974331686
simple_median_ensemble,macroregion,Norte,2700,10,0.1410998536045521,0.1410998536045521,0.19192236745239472,0.5233576452507291,0.4150628764054594,-0.033224467761989326,0.4067854504278963,0.6507407407407407,0.0222981618366456,0.8385185185185186,0.16947369666111692,0.9114814814814814,0.9593101189524592,0.9114814814814814,0.9593101189524592,0.41464103130766355
simple_median_ensemble,macroregion,Sudeste,9840,25,0.2717230293809593,0.2717230293809593,0.3226636213363398,1.6703390211462665,0.39319883209415996,-0.10850651108057197,0.616345162819066,0.6227642276422765,0.022306448108556816,0.7696138211382114,0.1054693516018828,0.8727642276422765,0.9444879304774505,0.8727642276422765,0.9444879304774505,0.4401562193542349
simple_median_ensemble,macroregion,Sul,4140,10,0.18563431392435237,0.18563431392435237,0.24602739638072146,0.5578872345594293,0.5540301379868369,-0.06310594834339724,0.6113318012454675,0.538647342995169,0.023782678567584536,0.7072463768115942,0.08086019370031815,0.8444444444444444,0.9305243040095605,0.8444444444444444,0.9305243040095605,0.3889883375309663
