model,rows,folds,standard_WIS,CRPS_quantile_approximation,MAE,RMSE,MASE,bias,Poisson_deviance,coverage_50,interval_width_50,coverage_80,interval_width_80,coverage_90,interval_width_90,coverage_95_approx,interval_width_95_approx,PIT_mean_approx
ets_local_level_seasonal,26340,25,0.17754854105651371,0.17754854105651371,0.21522399392558847,0.679647726877654,1.5694310011091015,-0.015110098709187548,3.4223148705955504,0.7873196659073652,0.0,0.8664388762338648,0.11256643887623387,0.9402429764616552,1.04457099468489,0.9402429764616552,1.04457099468489,0.7916030751708428
mechanistic_latent_residual_hybrid,26340,25,0.18267613199065746,0.18267613199065752,0.23506287074289986,0.7819414302627057,1.7140977166382168,-0.0025456978080073095,0.587800134939527,0.6214502657555049,0.027642546706678227,0.786712224753227,0.12332861762035134,0.8829157175398633,0.9373324391840834,0.8829157175398633,0.9373324391840834,0.3993569502444054
hurdle_event_conditional_count,26340,25,0.18356146165652473,0.1835614616565248,0.23880085488799016,0.9605635861422686,1.7413554033484973,-0.03861053257153677,0.47952356812366287,0.6301442672741078,0.028999825395847622,0.7901290812452544,0.131686419049931,0.8854973424449506,0.932737922620295,0.8854973424449506,0.932737922620295,0.41283126067333165
dynamic_state_space_ewma,26340,25,0.18964326391148717,0.18964326391148714,0.2224354593773728,0.7101969766438158,1.6220175981563183,-0.006273728170083537,3.4640963302662007,0.779498861047836,0.0,0.8186028853454822,0.04259681093394078,0.943204252088079,1.0927012148823083,0.943204252088079,1.0927012148823083,0.7812110148159492
simple_median_ensemble,26340,25,0.1898559969899358,0.1898559969899358,0.2391156122149916,1.090926962036692,0.4575420348805423,-0.06270131523699737,0.5163563302101674,0.6517463933181473,0.02106880237847574,0.7937357630979499,0.13638786399510497,0.8837509491268033,0.9453961926213791,0.8837509491268033,0.9453961926213791,0.4311654726709781
v10_lightgbm_fixed,26340,25,0.19096144137648,0.19096144137647997,0.2036102533963971,1.1511522022145728,1.4847426534351338,-0.1359117496391407,3.4008003768941704,0.7926727410782081,2.972899361089237e-14,0.8143128321943812,0.17399573065210974,0.8946089597570236,0.9966219834880419,0.8946089597570236,0.9966219834880419,0.7782180069954907
catboost_poisson,26340,25,0.19192553763382997,0.19192553763383,0.24560830948185278,1.0441964841309,1.7909959201114396,-0.05697488984452015,0.5066028052930681,0.627828397873956,0.020810313863554173,0.7844343204252088,0.13827609490189952,0.8834472285497342,0.9495778374682972,0.8834472285497342,0.9495778374682972,0.40213478049672796
hist_gradient_boosting_core,26340,25,0.19709837027876362,0.1970983702787636,0.23756586724299508,1.0348382819562343,1.7323497722351182,-0.07168646932928847,0.5815582326541244,0.6182232346241457,0.016467608927505973,0.7819286256643888,0.15877915554702082,0.8787775246772969,0.9631408146484595,0.8787775246772969,0.9631408146484595,0.39901673134053683
xgboost_poisson,26340,25,0.19744320169331014,0.19744320169331017,0.25013929812118113,1.136214959608486,1.8240362605796758,-0.04981955310857332,0.5300830242213875,0.623842065299924,0.0283139757076936,0.7891799544419135,0.130271238169068,0.879916476841306,0.9323632797378204,0.879916476841306,0.9323632797378204,0.40331648400822817
recent_burden_count,26340,25,0.19852478576852153,0.19852478576852153,0.2279802581624905,0.7597256028644054,1.6624507252884377,-0.005049354593773728,4.495977431222157,0.841419893697798,0.0,0.841419893697798,0.0,0.9634016704631739,1.109719058466211,0.9634016704631739,1.109719058466211,0.8369001518602887
