metric,model_A,model_B,estimate,ci_low,ci_high,replicates
WIS,simple_median_ensemble,v10_lightgbm_fixed,-0.0009532511539494584,-0.010275122029602483,0.006103393858337204,1000
top5_captured_positive_excess,recent_burden,xgboost_poisson_ranking,0.05258461521540933,-0.4426871252942959,0.7242003537800874,1000
